LINE_NO,LABEL_NO,bianma,dwell_time
327,1,232,21.5
327,2,233,18.5
327,4,234,18.5
316,34,235,17.12121212121212
97,28,236,25.29100529100529
97,27,237,14.023255813953488
K301,40,238,0.0
K301,35,239,27.72222222222222
K38,12,240,21.62745098039216
B7,12,241,27.484099389416556
K26,12,242,17.00793650793651
K132,9,243,40.94318783475621
K132,6,244,32.799180327868854
B7,4,245,33.004273504273506
K95,30,246,39.8565251354157
K4,9,247,47.39394869999085
K105,6,248,39.232728251822415
K130,19,249,30.83695652173913
K84,4,250,35.78853046594982
K130,16,251,41.32641726618705
K149,20,252,39.448377952755905
K149,22,253,46.02380558090706
K127,17,254,45.8561872909699
K12,4,255,21.31516582130316
32,2,256,55.799107142857146
K140,12,257,27.879044793210632
K12,2,258,50.71311927948063
K180,11,259,8.666666666666666
322,8,260,24.5
322,7,261,24.444444444444443
883,63,262,0.0
318,24,263,0.0
318,26,264,0.0
318,23,265,0.0
K146,18,266,17.96716224951519
K146,19,267,38.8716077828981
K146,17,268,39.29814814814815
K99,9,269,17.603656998738966
306,14,270,20.62050248138958
306,11,271,27.516949152542374
D115,3,272,22.903153153153152
K185,15,273,32.25
K185,13,274,27.25
K183,22,275,30.25
K162,12,276,24.04310344827586
516,9,277,25.471153846153847
516,4,278,29.66452991452991
K73,24,279,23.34523809523809
K176,3,280,27.22754491017964
K73,21,281,19.79
K73,23,282,20.316326530612244
305,25,283,10.444444444444445
335,13,284,0.0
335,12,285,49.42857142857143
335,11,286,33.0
815,29,287,11.0
K25,15,288,28.150753768844226
K130,5,289,16.141304347826086
310,4,290,27.416666666666664
310,3,291,30.0
K173,15,292,30.061032863849764
K89,11,293,39.12718195902909
K135,11,294,14.0
K4,1,295,61.92559523809524
K143,29,296,33.51063829787234
K143,8,297,35.301587301587304
K143,5,298,23.37209302325581
K143,10,299,19.58139534883721
K77,6,300,36.12698412698413
K26,16,301,26.38888888888889
K149,10,302,32.777270366764036
K302,9,303,15.178571428571429
K24,12,304,25.64754098360656
K20,11,305,7.2
K20,10,306,8.51578947368421
K302,8,307,7.944444444444446
K24,20,308,37.16666666666666
K20,13,309,23.978947368421053
K20,12,310,27.07368421052632
97,20,311,21.80232558139535
97,22,312,31.093023255813957
A318,27,313,25.166666666666668
A318,26,314,24.38095238095238
K180,2,315,12.333333333333334
316,28,316,10.876543209876544
K180,1,317,61.26568265682657
309,15,318,0.0
K106,2,319,37.64915914684167
315,11,320,37.625
313,12,321,0.0
313,5,322,23.21996855345912
K10,37,323,26.33783783783784
K10,38,324,23.03275583275583
T19,9,325,0.0
311,21,326,35.34324465310381
317,5,327,33.27317540982137
306,10,328,34.78168145351851
312,36,329,27.163265306122447
K185,6,330,0.0
K145,25,331,26.59556916674465
K185,4,332,34.7127461248429
K131,1,333,27.771043562588012
97,29,334,0.0
328,8,335,7.777777777777778
307,35,336,38.55555555555556
K301,37,337,10.5
K301,36,338,25.33333333333333
K301,34,339,29.77777777777778
K86,8,340,54.11152073732719
K74,3,341,19.99059701492537
K74,4,342,32.45
K13,1,343,55.68357863751051
K125,2,344,47.68949631449632
K81,8,345,36.229097992208565
K74,1,346,8.771144278606966
B10,14,347,32.75409836065574
K175,15,348,23.88888888888889
K78,6,349,30.17408906882591
K20,26,350,26.154605263157897
K78,4,351,37.16636722960833
K20,22,352,30.36301863234729
523,16,353,36.968398274359146
523,19,354,15.303030303030305
K19,1,355,26.15192626346313
K149,7,356,28.194092827004216
K167,3,357,24.431957857769973
K167,5,358,30.264102564102565
118,26,359,31.267015706806284
K77,14,360,29.69934640522876
K72,4,361,40.93502311254497
K72,7,362,27.62457036513837
B7,10,363,30.166666666666668
K149,15,364,51.450851937488295
K77,13,365,33.59803921568627
505,9,366,49.51062225073525
K149,12,367,21.72784810126582
K69,9,368,36.30735297840561
K82,15,369,25.64908933598744
T21,11,370,34.969602404068425
K105,11,371,30.55641891891892
K82,18,372,24.694444444444443
501,8,373,37.54950223164466
K16,25,374,35.65158915795267
K70,6,375,35.22571767001115
K176,9,376,24.80555555555556
K159,16,377,0.0
818,29,378,0.0
818,28,379,27.5
883,53,380,41.96153846153845
883,54,381,37.333333333333336
885,57,382,0.0
311,27,383,19.436241610738254
K158,4,384,27.42105263157895
516,3,385,32.13007726707417
K158,6,386,33.86842105263158
311,26,387,24.651408450704224
A10,10,388,46.371428571428574
517,3,389,32.68901308615049
