LINE_NO,LABEL_NO,bianma,dwell_time
K88,15,1005,25.242320819112628
502,12,1006,14.53623188405797
502,11,1007,25.233660130718956
882,24,1008,30.726067746686304
K88,28,1009,45.37443744374438
K94,18,1010,41.13517620964429
K129,7,1011,33.4399985013828
K76,9,1012,40.904119756244675
K54,3,1013,31.482922475847005
885,10,1014,44.12246659353253
K129,4,1015,37.91452236355971
K145,30,1016,0.0
323,11,1017,0.0
K185,9,1018,0.0
326,26,1019,16.520833333333332
K166,7,1020,33.24055455397197
K171,25,1021,42.814597315436245
K171,26,1022,37.80963614263937
K63,7,1023,31.595598330743012
K63,2,1024,30.10185185185185
K160,12,1025,33.492753623188406
116,21,1026,37.178403755868544
K93,22,1027,41.840894087160734
K110,14,1028,39.85489236410183
K151,21,1029,40.93318812443772
K64,21,1030,40.17099310333962
K169,20,1031,36.69402985074627
K110,11,1032,36.33746594690022
K64,15,1033,34.406554444028366
A303,26,1034,21.5
A303,25,1035,36.38636363636364
303,27,1036,21.9
312,21,1037,12.985294117647058
312,20,1038,22.257142857142856
312,19,1039,20.34285714285714
312,23,1040,12.246305418719214
312,25,1041,21.5
334,11,1042,32.4
334,10,1043,37.4
326,9,1044,27.229999999999997
312,15,1045,23.272727272727277
65,43,1046,28.73
326,6,1047,25.627659574468087
65,42,1048,20.466666666666665
326,13,1049,20.75
326,12,1050,15.275
334,12,1051,22.6
312,1,1052,33.666666666666664
819,12,1053,20.0
819,10,1054,18.5
818,19,1055,27.399774774774773
812,16,1056,30.68918918918919
883,37,1057,19.22872340425532
K141,31,1058,24.35185185185185
K20,16,1059,22.862745098039216
816,7,1060,44.4
811,7,1061,26.8
811,6,1062,27.3
887,20,1063,0.0
65,23,1064,27.47826086956522
K88,1,1065,39.53174603174603
65,22,1066,42.0599300360672
809,4,1067,11.92156862745098
K52,37,1068,0.0
K52,35,1069,33.04053729563134
K52,33,1070,26.70967741935484
K161,35,1071,29.53270798651129
K151,9,1072,0.0
K49,1,1073,57.84034449296458
K139,2,1074,38.765306122448976
K185,10,1075,0.0
323,21,1076,30.875
K182,20,1077,0.0
303,26,1078,30.9
K182,19,1079,31.0
K182,18,1080,92.5
K182,17,1081,41.5
K182,16,1082,23.392857142857142
325,35,1083,22.02857142857143
334,14,1084,0.0
334,13,1085,25.4
812,7,1086,19.5
819,8,1087,14.0
819,7,1088,10.0
818,8,1089,23.595744680851062
818,11,1090,18.28082191780822
881,20,1091,20.866666666666667
881,19,1092,35.0
883,45,1093,20.6
885,46,1094,8.133333333333335
885,48,1095,24.75
518,23,1096,28.958760683760683
518,24,1097,32.07006880733945
515,15,1098,42.61116116991806
323,18,1099,29.25
323,19,1100,49.25
887,19,1101,59.27272727272727
887,17,1102,28.590909090909086
888,19,1103,26.727272727272727
